country,region,year,gender,population,CVD,bloodpressure
Chile,Americas,2010,Male,8410000,330.5,128.2
Chile,Americas,2000,Female,7717000,215.7,122.4
Chile,Americas,2010,Female,8583000,251.9,120.4
China,Asia,2000,Male,662480000,33268.2,123.4
China,Asia,2010,Male,703436000,41947.4,125.1
China,Asia,2000,Female,627810000,30892.8,119.1
China,Asia,2010,Female,663881000,39511.9,120.4
Colombia,Americas,2000,Male,19981000,805.5,124.7
Colombia,Americas,2010,Male,22641000,945.3,125.6
Colombia,Americas,2000,Female,20423000,692.3,120.2
Colombia,Americas,2010,Female,23277000,756.7,119.4
Comoros,Africa,2000,Male,273000,12.2,128.5
Comoros,Africa,2010,Male,348000,14.3,129.7
Comoros,Africa,2000,Female,270000,10.5,126.9
Comoros,Africa,2010,Female,342000,11.7,128.4
Congo,Africa,2000,Male,1611000,73.5,131.2
Congo,Africa,2010,Male,2194000,66.7,130.8
Congo,Africa,2000,Female,1615000,86.9,129.5
Congo,Africa,2010,Female,2193000,83.5,128.7
Costa Rica,Americas,2000,Male,1970000,66.8,126.8
Costa Rica,Americas,2010,Male,2277000,85.1,126.4
Costa Rica,Americas,2000,Female,1955000,46.7,121.1
Costa Rica,Americas,2010,Female,2268000,57.9,120.5
Côte d'Ivoire,Africa,2000,Male,8610000,461.7,133.7
Côte d'Ivoire,Africa,2010,Male,10409000,664,133.4
Côte d'Ivoire,Africa,2000,Female,8077000,362.2,129
Côte d'Ivoire,Africa,2010,Female,9992000,543.6,128.7
Croatia,Europe,2000,Male,2132000,269.8,134
Croatia,Europe,2010,Male,2085000,234.1,136
Croatia,Europe,2000,Female,2296000,259.5,127.7
Croatia,Europe,2010,Female,2243000,226.4,127.6
Cuba,Americas,2000,Male,5594000,367.9,125.2
Cuba,Americas,2010,Male,5678000,393.6,123.7
Cuba,Americas,2000,Female,5556000,287.5,120.4
Cuba,Americas,2010,Female,5655000,305.9,118.3
Cyprus,Asia,2000,Male,475000,31.1,128.5
Cyprus,Asia,2010,Male,556000,30.7,127.4
Cyprus,Asia,2000,Female,468000,21.8,122.1
Cyprus,Asia,2010,Female,557000,20.4,119.5
Czechia,Europe,2000,Male,5006000,580.7,131
Czechia,Europe,2010,Male,5171000,515.3,131.4
Czechia,Europe,2000,Female,5284000,514.9,123.9
Czechia,Europe,2010,Female,5365000,455.3,121.8
Denmark,Europe,2000,Male,2643000,198.1,132.4
Denmark,Europe,2010,Male,2756000,149.4,129.5
Denmark,Europe,2000,Female,2698000,166.1,123.5
Denmark,Europe,2010,Female,2799000,118,120.7
Djibouti,Africa,2000,Male,361000,16.7,130.4
Djibouti,Africa,2010,Male,428000,17.5,130.2
Djibouti,Africa,2000,Female,357000,13.6,128.3
Djibouti,Africa,2010,Female,424000,14.6,127.4
Dominican Republic,Americas,2000,Male,4291000,227.1,127
Dominican Republic,Americas,2010,Male,4941000,275.1,127.5
Dominican Republic,Americas,2000,Female,4271000,174.6,123.7
Dominican Republic,Americas,2010,Female,4957000,215.3,122.9
Ecuador,Americas,2000,Male,6331000,222.7,122.5
Ecuador,Americas,2010,Male,7472000,221.1,123.6
Ecuador,Americas,2000,Female,6297000,177.7,119.5
Ecuador,Americas,2010,Female,7462000,178.3,119.1
Egypt,Africa,2000,Male,35164000,2150.9,126.9
Egypt,Africa,2010,Male,42466000,2915.6,128.5
Egypt,Africa,2000,Female,34742000,1918.8,126.9
Egypt,Africa,2010,Female,41642000,2586,126.4
El Salvador,Americas,2000,Male,2827000,121.3,123.5
El Salvador,Americas,2010,Male,2919000,110.1,124
El Salvador,Americas,2000,Female,3040000,108.5,119.3
El Salvador,Americas,2010,Female,3246000,97.3,118.7
Equatorial Guinea,Africa,2000,Male,318000,18.9,130.6
Equatorial Guinea,Africa,2010,Male,516000,22.4,130.9
Equatorial Guinea,Africa,2000,Female,296000,15.1,127.4
Equatorial Guinea,Africa,2010,Female,435000,17.2,127.7
Eritrea,Africa,2000,Male,1696000,90.7,123.7
Eritrea,Africa,2010,Male,2198000,98,124.3
Eritrea,Africa,2000,Female,1697000,77.9,120.5
Eritrea,Africa,2010,Female,2193000,81.3,121.3
Estonia,Europe,2000,Male,653000,110.6,132
Estonia,Europe,2010,Male,620000,81.5,133.7
Estonia,Europe,2000,Female,747000,102.4,125.1
Estonia,Europe,2010,Female,712000,76.2,124
Ethiopia,Africa,2000,Male,33177000,1317.6,125.7
Ethiopia,Africa,2010,Male,43768000,1489.2,127.6
Ethiopia,Africa,2000,Female,33361000,1057.4,123
Ethiopia,Africa,2010,Female,43935000,1199.7,125.9
Fiji,Oceania,2000,Male,412000,40.8,128.4
Fiji,Oceania,2010,Male,439000,41.2,129.9
Fiji,Oceania,2000,Female,399000,23.7,125.1
Fiji,Oceania,2010,Female,421000,20.3,126.8
Finland,Europe,2000,Male,2533000,227.7,131.6
Finland,Europe,2010,Male,2633000,211.2,128.5
Finland,Europe,2000,Female,2655000,178.1,124.8
Finland,Europe,2010,Female,2732000,151.3,120.8
